id,mode,side,entry_time,entry_price,exit_time,exit_price,size,pnl,reason
3,margin_3x,buy,2026-03-31 17:45:00+00:00,67527.1,2026-04-01 06:15:00+00:00,68877.6,0.00025,1.0129,止盈
4,margin_3x,buy,2026-04-01 11:00:00+00:00,68620.4,2026-04-02 01:15:00+00:00,67591.1,0.00024,-0.7411,止损
2,margin_2x,buy,2026-03-31 17:45:00+00:00,67527.1,2026-04-02 11:15:00+00:00,66176.6,0.00039,-1.0534,止损
5,margin_3x,sell,2026-04-02 07:30:00+00:00,66852.6,2026-04-05 15:30:00+00:00,67855.4,0.00025,-0.7521,止损
6,margin_2x,sell,2026-04-02 14:45:00+00:00,66863.4,2026-04-05 22:45:00+00:00,68200.7,0.00039,-1.0431,止损
8,margin_3x,buy,2026-04-06 01:45:00+00:00,68815.5,2026-04-06 09:15:00+00:00,70191.8,0.00024,0.9909,止盈
9,margin_3x,buy,2026-04-06 14:45:00+00:00,69657.1,2026-04-06 23:00:00+00:00,68612.2,0.00024,-0.7523,止损
10,margin_3x,buy,2026-04-07 11:00:00+00:00,68350.1,2026-04-07 21:00:00+00:00,69717.1,0.00024,0.9842,止盈
1,spot,buy,2026-03-31 17:45:00+00:00,67527.1,2026-04-07 22:00:00+00:00,70565.8,0.00039,1.1851,止盈
7,margin_2x,buy,2026-04-06 01:45:00+00:00,68815.5,2026-04-07 22:30:00+00:00,70880.0,0.00038,1.569,止盈
13,margin_3x,buy,2026-04-08 01:45:00+00:00,71486.1,2026-04-09 22:15:00+00:00,72915.8,0.00023,0.9865,止盈
14,margin_3x,buy,2026-04-09 22:45:00+00:00,71942.9,2026-04-10 20:30:00+00:00,73381.8,0.00023,0.9928,止盈
12,margin_2x,buy,2026-04-08 01:45:00+00:00,71486.1,2026-04-11 18:30:00+00:00,73630.7,0.00037,1.587,止盈
15,margin_3x,buy,2026-04-10 22:30:00+00:00,72859.7,2026-04-12 01:30:00+00:00,71766.8,0.00023,-0.7541,止损
16,margin_2x,sell,2026-04-11 19:45:00+00:00,73691.2,2026-04-12 01:45:00+00:00,71480.5,0.00036,1.5917,止盈
18,margin_3x,buy,2026-04-12 12:15:00+00:00,71411.0,2026-04-13 19:15:00+00:00,72839.2,0.00023,0.9855,止盈
17,margin_2x,sell,2026-04-12 05:30:00+00:00,71652.7,2026-04-13 19:30:00+00:00,73085.8,0.00037,-1.0605,止损
11,spot,buy,2026-04-08 01:45:00+00:00,71486.1,2026-04-13 22:45:00+00:00,74703.0,0.00037,1.1903,止盈
21,margin_3x,buy,2026-04-14 01:00:00+00:00,74297.0,2026-04-14 14:15:00+00:00,75782.9,0.00022,0.9807,止盈
22,margin_3x,buy,2026-04-16 00:00:00+00:00,74600.0,2026-04-16 13:45:00+00:00,73481.0,0.00022,-0.7385,止损
23,margin_3x,buy,2026-04-16 16:15:00+00:00,74569.7,2026-04-17 09:15:00+00:00,76061.1,0.00022,0.9843,止盈
20,margin_2x,buy,2026-04-14 01:00:00+00:00,74297.0,2026-04-17 13:00:00+00:00,76525.9,0.00035,1.5602,止盈
19,spot,buy,2026-04-14 01:00:00+00:00,74297.0,2026-04-17 14:15:00+00:00,77640.4,0.00036,1.2036,止盈
26,margin_3x,buy,2026-04-17 17:15:00+00:00,77233.7,2026-04-18 11:00:00+00:00,76075.2,0.00022,-0.7646,止损
25,margin_2x,buy,2026-04-17 17:15:00+00:00,77233.7,2026-04-18 16:15:00+00:00,75689.0,0.00034,-1.0504,止损
24,spot,buy,2026-04-17 17:15:00+00:00,77233.7,2026-04-19 07:15:00+00:00,74916.7,0.00035,-0.8109,止损
27,margin_3x,buy,2026-04-18 11:15:00+00:00,76085.7,2026-04-19 07:15:00+00:00,74944.4,0.00022,-0.7533,止损
28,margin_2x,buy,2026-04-18 17:15:00+00:00,75857.5,2026-04-19 22:00:00+00:00,74340.4,0.00035,-1.062,止损
30,margin_3x,buy,2026-04-19 17:15:00+00:00,75273.0,2026-04-19 22:00:00+00:00,74143.9,0.00022,-0.7452,止损
29,spot,buy,2026-04-19 17:15:00+00:00,75273.0,2026-04-20 09:15:00+00:00,75001.0,0.00035,-0.0952,回测结束
